Tanggal,Latitude,Longitude
2024-05-10,-3.42150,104.23815
2024-05-10,-3.41889,104.23882
2024-05-10,-3.41864,104.23922
2024-05-10,-3.41859,104.23934
2024-05-11,-3.41823,104.23911
2024-05-11,-3.41846,104.23990
2024-05-11,-3.41869,104.23946
2024-05-11,-3.41744,104.24058
2024-05-11,-3.41796,104.24040
2024-05-11,-3.41783,104.24091
2024-05-12,-3.41773,104.24102
2024-05-12,-3.41655,104.24256
2024-05-12,-3.41671,104.24294
2024-05-12,-3.41620,104.24314
2024-05-12,-3.41495,104.24415
2024-05-12,-3.41264,104.24446
2024-05-13,-3.57882,104.27299
2024-05-13,-3.57809,104.27335
2024-05-13,-3.57809,104.27304
2024-05-13,-3.58186,104.27351
2024-05-13,-3.58184,104.27404
2024-05-13,-3.58844,104.27535
2024-05-14,-3.58884,104.27547
2024-05-14,-3.59063,104.27577
2024-05-14,-3.59122,104.27559
2024-05-14,-3.59239,104.27487
2024-05-14,-3.59650,104.27943
2024-05-14,-3.59784,104.28073
2024-05-15,-3.60002,104.28248
2024-05-15,-3.60144,104.28309
2024-05-15,-3.60149,104.28320
2024-05-15,-3.60358,104.28311
2024-05-15,-3.60577,104.28272
2024-05-16,-3.65183,104.29530
2024-05-16,-3.65370,104.29594
2024-05-16,-3.66782,104.29625
2024-05-16,-3.66934,104.29732
2024-05-16,-3.67022,104.29717
2024-05-16,-3.67413,104.29863
2024-05-17,-3.67473,104.29889
2024-05-17,-3.68029,104.30077
2024-05-17,-3.68078,104.30030
2024-05-17,-3.68133,104.29968
2024-05-17,-3.68161,104.29880
2024-05-17,-3.68244,104.29844
2024-05-18,-3.68306,104.29825
2024-05-18,-3.68420,104.29636
2024-05-18,-3.68587,104.29605
2024-05-18,-3.90414,103.99374
2024-05-18,-3.90665,103.99278
2024-05-18,-3.91050,103.99366
2024-05-18,-3.91187,103.99610
2024-05-19,-3.89120,104.10565
2024-05-19,-3.89127,104.11051
2024-05-19,-3.88700,104.10741
2024-05-19,-3.88250,104.10503
2024-05-19,-3.88537,104.10617
2024-05-19,-3.84409,104.13665
2024-05-19,-3.84293,104.13753
2024-05-20,-3.82468,104.15288
2024-05-20,-3.81911,104.17310
2024-05-20,-3.80108,104.17585
2024-05-20,-3.78878,104.17351
2024-05-20,-3.78689,104.17366
2024-05-20,-3.78051,104.17396
2024-05-20,-3.77529,104.17855
2024-05-21,-3.62075,104.39942
2024-05-21,-3.59624,104.42544
2024-05-21,-3.68710,104.07886
2024-05-21,-3.62689,104.09952
2024-05-21,-3.62427,104.09994
2024-05-21,-3.62481,104.09945
2024-05-21,-3.62698,104.09774
2024-05-22,-3.62799,104.09999
2024-05-22,-3.62297,104.09900
2024-05-22,-3.62544,104.09706
2024-05-22,-3.62280,104.09467
2024-05-22,-3.62342,104.09550
2024-05-22,-3.62392,104.09600
2024-05-23,-3.62212,104.09345
2024-05-23,-3.62214,104.09339
2024-05-23,-3.61845,104.09468
2024-05-23,-3.62028,104.09637
2024-05-23,-3.58534,104.09920
2024-05-23,-3.58413,104.09824
2024-05-23,-3.58369,104.09843
2024-05-23,-3.58133,104.09386
2024-05-24,-3.58053,104.09404
2024-05-24,-3.57968,104.09394
2024-05-24,-3.57857,104.09763
2024-05-24,-3.57772,104.09814
2024-05-24,-3.57510,104.10230
2024-05-24,-3.57453,104.10510
2024-05-24,-3.57187,104.10046
2024-05-24,-3.57021,104.10090
2024-05-24,-3.56972,104.10128
2024-05-24,-3.55687,104.22363
2024-05-25,-3.55860,104.22433
2024-05-25,-3.55762,104.22545
2024-05-25,-3.55755,104.22627
2024-05-25,-3.54959,104.24198
2024-05-25,-3.54929,104.24146
2024-05-25,-3.54915,104.24155
2024-05-25,-3.33650,104.10126
2024-05-25,-3.33736,104.10088
2024-05-25,-3.33742,104.09964
2024-05-25,-3.33742,104.09921
2024-05-25,-3.34078,104.09618
2024-05-25,-3.33701,104.09924
2024-05-25,-3.33671,104.09895
2024-05-25,-3.33308,104.09720
2024-05-25,-3.33304,104.09744
2024-05-25,-3.32978,104.09695
2024-05-25,-3.32830,104.09626
